path,template,issue,detail
/browse,static,EMPTY_SECTION,Filters
/sealed,static,EMPTY_SECTION,Secret Garden Box
/decks,static,EMPTY_SECTION,Common questions
/learn,static,EMPTY_SECTION,"Your first week, step by step"
/learn,static,EMPTY_SECTION,Speak the language
/learn,static,EMPTY_SECTION,New-player questions
/tools/value-finder,static,EMPTY_SECTION,How the Value Finder works
/tools/rising,static,EMPTY_SECTION,How Rising Cards works
/stores/suggest,store,THIN_EDITORIAL,83 prose words
/guides,static,EMPTY_SECTION,Browse by topic
/blog,static,EMPTY_SECTION,Browse by topic
/contact,static,THIN_EDITORIAL,66 prose words
/support,static,THIN_EDITORIAL,25 prose words
/card/nasus-curator-of-the-sands-ven-192s-166,card,NEAR_DUPLICATE_DESCRIPTION,"2 others, e.g. /card/nasus-curator-of-the-sands-ven-192"
/card/ambessa-matriarch-of-war-ven-196s-166,card,NEAR_DUPLICATE_DESCRIPTION,"1 others, e.g. /card/ambessa-matriarch-of-war-ven-196"
/card/yordle-heart-of-the-tempest-ven-197,card,NEAR_DUPLICATE_DESCRIPTION,"1 others, e.g. /card/yordle-heart-of-the-tempest-ven-155"
/card/nasus-curator-of-the-sands-ven-192,card,NEAR_DUPLICATE_DESCRIPTION,"2 others, e.g. /card/nasus-curator-of-the-sands-ven-192s-166"
/card/riven-shattered-ven-041a-166-promo,card,NEAR_DUPLICATE_DESCRIPTION,"2 others, e.g. /card/riven-shattered-ven-041-166-promo"
/card/illaoi-prophet-of-the-great-kraken-ven-182,card,NEAR_DUPLICATE_DESCRIPTION,"1 others, e.g. /card/illaoi-prophet-of-the-great-kraken-ven-109"
/card/ambessa-matriarch-of-war-ven-196,card,NEAR_DUPLICATE_DESCRIPTION,"1 others, e.g. /card/ambessa-matriarch-of-war-ven-196s-166"
/card/mel-defiant-soul-ven-188,card,NEAR_DUPLICATE_DESCRIPTION,"1 others, e.g. /card/mel-defiant-soul-ven-110a"
/card/zed-from-the-shadows-ven-169,card,NEAR_DUPLICATE_DESCRIPTION,"2 others, e.g. /card/zed-from-the-shadows-ven-023a"
/card/renekton-brute-ven-177,card,NEAR_DUPLICATE_DESCRIPTION,"1 others, e.g. /card/renekton-brute-ven-092a"
